Localidad,Sucursal,Direccion,Horario,Latitud,Longitud
25 DE MAYO,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,27 1086,LUN-VIER: 09:00 18:00,-35.43272800,-60.17435900
25 DE MAYO,AGENCIA DE LOTERIA,8 ESQ 27 0,LUN-VIER: 09:00 18:00,-35.44076200,-60.17082400
25 DE MAYO,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,CALLE 28 (ENTRE CALLES 8 Y 9) 745,LUN-VIER: 08:00 21:00 SABADOS: 08:00 21:00,-35.43200200,-60.17030200
