Localidad,Sucursal,Direccion,Horario,Latitud,Longitud
30 DE AGOSTO,CAMARA / ASOCIACION / UNION-SUCURSAL CON RETIRO DE EFECTIVO,GRAL JOSE MARIA PAZ 184,LUN-VIER: 08:00 12:0015:00 19:30 SABADOS: 08:00 12:00,-36.26667020,-62.54999920
30 DE AGOSTO,AGENCIA DE LOTERIA,SARMIENTO 28,LUN-VIER: 09:00 19:00 SABADOS: 09:00 19:00,-36.28000200,-62.54546800
