Localidad,Sucursal,Direccion,Horario,Latitud,Longitud
9 DE JULIO,AGENCIA DE TURISMO / VENTA DE PASAJES,AVENIDA LIBERTADOR GRAL SAN MARTIN 1333,LUN-VIER: 09:00 18:00,0.00000000,0.00000000
9 DE JULIO,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,CARDENAL PIRONIO 1102,LUN-VIER: 08:00 18:00,-35.44845200,-60.87982800
9 DE JULIO,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,RIO URUGUAY 715,LUN-VIER: 08:00 18:00,-35.44680400,-60.88414700
