Localidad,Sucursal,Direccion
GENERAL ROCA,GESTORÍA / ESTUDIO CONTABLE-SUCURSAL CON RETIRO DE EFECTIVO,AV PRES GRAL J A ROCA 1281
GENERAL ROCA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,LA PLATA 1068
GENERAL ROCA,AGENCIA DE LOTERIA,LEANDRO N. ALEM 1928
GENERAL ROCA,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,Mitre 2326
GENERAL ROCA,KIOSCO/ MAXIKIOSCO,PRES.GRAL. J A ROCA 1155
GENERAL ROCA,OTROS,ROSARIO DE SANTA FE  2602
GENERAL ROCA,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,SAN JUAN 1918
GENERAL ROCA,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,TUCUMAN 598
GENERAL ROCA,FINANCIERA,Uruguay 624
