Localidad,Sucursal,Direccion
PATERNAL,SUPERMERCADO/ HIPERMERCADO-SUCURSAL CON RETIRO DE EFECTIVO,JB Justo 4600 - LOCAL 8046 4600
PATERNAL,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,JUAN AGUSTIN GARCIA  1694
PATERNAL,OFICINA COMERCIAL,PAYSANDU 1842
