Localidad,Sucursal,Direccion
VILLA SANTA RITA,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,ARGERICH 2199
VILLA SANTA RITA,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,CAMPANA 1798
VILLA SANTA RITA,AGENCIA DE LOTERIA,CESAR DIAZ  2906
