Localidad,Sucursal,Direccion
ANDALGALA,POLIRUBRO/ MULTIVENTAS,AVDA GRAL JOSE DE SAN MARTIN 0
ANDALGALA,FARMACIA / PERFUMERIA / LIMPIEZA,CHELEMIN 0
