Localidad,Sucursal,Direccion
SAN MIGUEL DE TUCUMAN,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,CRISOSTOMO ALVAREZ 464
SAN MIGUEL DE TUCUMAN,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,DR MARIANO MORENO 541
SAN MIGUEL DE TUCUMAN,FINANCIERA,EMILIO CASTELAR Y SUIPACHA 0
SAN MIGUEL DE TUCUMAN,OTROS,ENTRE RIOS  130
SAN MIGUEL DE TUCUMAN,FARMACIA / PERFUMERIA / LIMPIEZA-SUCURSAL CON RETIRO DE EFECTIVO,ESTADO DE ISRAEL  1999
SAN MIGUEL DE TUCUMAN,PUESTO INTERNO,FRANCISCO NARCISO DE LAPRIDA 55
SAN MIGUEL DE TUCUMAN,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,GRAL SAN MARTIN 691
SAN MIGUEL DE TUCUMAN,FINANCIERA,GRAL SAN MARTIN 853
SAN MIGUEL DE TUCUMAN,FINANCIERA,GRAL SAN MARTIN 880
SAN MIGUEL DE TUCUMAN,FINANCIERA,GRAL SAN MARTIN 890
SAN MIGUEL DE TUCUMAN,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,JUJUY 108
SAN MIGUEL DE TUCUMAN,OTROS,LAPRIDA 55
SAN MIGUEL DE TUCUMAN,OTROS,LAPRIDA 55
SAN MIGUEL DE TUCUMAN,MINIMERCADO / ALMACEN Y AFINES,LAVALLE 765
SAN MIGUEL DE TUCUMAN,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,MAIPU-LOCAL 19 80
SAN MIGUEL DE TUCUMAN,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,MAPIU LOCAL 19 80
SAN MIGUEL DE TUCUMAN,POLIRUBRO/ MULTIVENTAS,MARCOS PAZ 3899
SAN MIGUEL DE TUCUMAN,POLIRUBRO/ MULTIVENTAS,MATHEU 114
SAN MIGUEL DE TUCUMAN,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,MENDOZA LOCAL PB 514
SAN MIGUEL DE TUCUMAN,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,MONTEAGUDO  112
SAN MIGUEL DE TUCUMAN,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,MUÑECAS PB 565
SAN MIGUEL DE TUCUMAN,POLIRUBRO/ MULTIVENTAS,PRESIDENTE NESTOR KIRCHNER 3440
SAN MIGUEL DE TUCUMAN,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,RAMIREZ DE VELAZCO 3062
SAN MIGUEL DE TUCUMAN,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,RIVADAVIA 88
SAN MIGUEL DE TUCUMAN,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,SALTA  395
SAN MIGUEL DE TUCUMAN,FINANCIERA,SAN MARTIN 839
SAN MIGUEL DE TUCUMAN,MINIMERCADO / ALMACEN Y AFINES-SUCURSAL CON RETIRO DE EFECTIVO,SAN MARTIN 4790
SAN MIGUEL DE TUCUMAN,POLIRUBRO/ MULTIVENTAS,SANTIAGO 955
SAN MIGUEL DE TUCUMAN,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,SANTIAGO DEL ESTERO  455
