Localidad,Sucursal,Direccion
SALTA,MINIMERCADO / ALMACEN Y AFINES-SUCURSAL CON RETIRO DE EFECTIVO,MANZANA 714A BARRIO LEANDRO ALEM 20
SALTA,POLIRUBRO/ MULTIVENTAS,MANZANA 79  B° PUERTO ARGENTINO 0
SALTA,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,MITRE 1001
SALTA,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,Mitre  255
SALTA,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,MONSEÑOR TAVELLA  1801
SALTA,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,MZNA      SAN CARLOS 0
SALTA,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,MZNA 742 BARRIO SANTA ANA II LOTE 11		  0
SALTA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,ORAN 1155
SALTA,CENTRO DE COBRO,PARAGUAY -SALON PUBLICO  1240
SALTA,POLIRUBRO/ MULTIVENTAS,PASAJE GUSTAVO TENN 469
SALTA,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,PCIAL  ESQUINA WEIRNA 0
SALTA,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,PELLEGRINI 606
SALTA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,Pellegrini  981
SALTA,FARMACIA / PERFUMERIA / LIMPIEZA,PUEYRREDON 881
SALTA,POLIRUBRO/ MULTIVENTAS,RADIO SANTIAGO DEL ESTERO 		  2890
SALTA,SUPERMERCADO/ HIPERMERCADO,RADIO SS JUJUY Y RADIO PATAGONIAS 0
SALTA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,SAEN PEÑA ESQ TUPAC AMARU 0
SALTA,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,SAN LUIS		  37
SALTA,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,San Martín  534
SALTA,POLIRUBRO/ MULTIVENTAS,SANTA FE 132
SALTA,POLIRUBRO/ MULTIVENTAS,TOMAS CABRERA  479
SALTA,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,VIRREY TOLEDO  1461
SALTA,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,ZACARIAS YANCY	  655
