Localidad,Sucursal,Direccion
ISIDRO CASANOVA,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,AV BDIER J M DE ROSAS 6701
ISIDRO CASANOVA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,AV CRISTIANIA  1751
ISIDRO CASANOVA,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,CRISTIANIA 5841
ISIDRO CASANOVA,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,J.M.ROSAS   8086
ISIDRO CASANOVA,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,JUAN BALTAZAR MACIEL 5
ISIDRO CASANOVA,AGENCIA DE SEGUROS,ROMA 2855
ISIDRO CASANOVA,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,ROMA   3147
