Localidad,Sucursal,Direccion
VILLA URQUIZA,KIOSCO/ MAXIKIOSCO-SUCURSAL CON RETIRO DE EFECTIVO,ANDONAEGUI 2379
VILLA URQUIZA,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,AV TRIUNVIRATO  4237
VILLA URQUIZA,TELEFONIA CELULAR Y ACCESORIOS-SUCURSAL CON RETIRO DE EFECTIVO,AV. TRIUNVIRATO   4550
VILLA URQUIZA,AGENCIA DE LOTERIA,CULLEN  5116
VILLA URQUIZA,KIOSCO/ MAXIKIOSCO,DONADO 		  1868
VILLA URQUIZA,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,GANDARA 2217
VILLA URQUIZA,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,TRIUNVIRATO		  5390
