Localidad,Sucursal,Direccion
CHACABUCO,COMPUTACION Y TECNOLOGIA,ALSINA 61
CHACABUCO,MINIMERCADO / ALMACEN Y AFINES,RIVADAVIA 625
CHACABUCO,POLIRUBRO/ MULTIVENTAS,SAN LORENZO 83
