Localidad,Sucursal,Direccion
CONSTITUCION,TELEFONIA CELULAR Y ACCESORIOS-SUCURSAL CON RETIRO DE EFECTIVO,AV. ENTRE RIOS		  1212
CONSTITUCION,AGENCIA DE LOTERIA,AVDA ENTRE RIOS 1806
CONSTITUCION,FARMACIA / PERFUMERIA / LIMPIEZA-SUCURSAL CON RETIRO DE EFECTIVO,BRASIL 1201
CONSTITUCION,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,HALL DE CONSTITUCION LOCAL 88		  88
CONSTITUCION,AGENCIA DE LOTERIA,LIMA   1649
CONSTITUCION,POLIRUBRO/ MULTIVENTAS-SUCURSAL CON RETIRO DE EFECTIVO,SALTA 2091
CONSTITUCION,KIOSCO/ MAXIKIOSCO,SAN JOSE 1895
