Localidad,Sucursal,Direccion
CARMEN DE ARECO,POLIRUBRO/ MULTIVENTAS, J J PASO		  875
CARMEN DE ARECO,AGENCIA DE LOTERIA,MITRE 555
CARMEN DE ARECO,AGENCIA DE LOTERIA,MITRE 769
