Localidad,Sucursal,Direccion
BOSQUES,CENTRO DE COBRO-SUCURSAL CON RETIRO DE EFECTIVO,CALLE 938 (LUJAN) 1428
BOSQUES,OTROS-SUCURSAL CON RETIRO DE EFECTIVO,PABLO PODESTA 1624
