Localidad,Sucursal,Direccion
VILLA CONSTITUCION,OTROS,14 DE FEBRERO   698
VILLA CONSTITUCION,TELEFONIA CELULAR Y ACCESORIOS,HIRIGOYEN 367
VILLA CONSTITUCION,OTROS,SAN MARTIN 1357
