Localidad,Sucursal,Direccion
CORONEL MOLDES,SUPERMERCADO/ HIPERMERCADO,SAN MARTIN 202
CORONEL MOLDES,SUPERMERCADO/ HIPERMERCADO,SARMIENTO   11
