Localidad,Sucursal,Direccion
RAFAEL CASTILLO,AGENCIA DE SEGUROS,CARLOS CASARES 347
RAFAEL CASTILLO,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,CHAVARRIA 1756
RAFAEL CASTILLO,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,CHAVARRIA  2115
RAFAEL CASTILLO,FINANCIERA,CHAVARRIA  1769
RAFAEL CASTILLO,LOCUTORIO/ CIBER-SUCURSAL CON RETIRO DE EFECTIVO,CRISTIANIA 165
RAFAEL CASTILLO,AGENCIA DE LOTERIA-SUCURSAL CON RETIRO DE EFECTIVO,CRISTIANIA 693
RAFAEL CASTILLO,AGENCIA DE LOTERIA,LLAVALLOL FELIPE 1323
