Localidad,Sucursal,Direccion
SAN ANDRES DE GILES,POLIRUBRO/ MULTIVENTAS,LEANDRO NICEFORO ALEM 1541
SAN ANDRES DE GILES,MINIMERCADO / ALMACEN Y AFINES,RAWSON 1365
SAN ANDRES DE GILES,POLIRUBRO/ MULTIVENTAS,RIVADAVIA 881
