Localidad,Sucursal,Direccion
SANTO TOME,SUPERMERCADO/ HIPERMERCADO,COUNTRY EL PASO LOTE  481
SANTO TOME,KIOSCO/ MAXIKIOSCO,LISANDRO DE LA TORRE 2382
