IDSUCURSAL,NRO_AGENTE_PF,NOMBRE,DIRECCION,LOCALIDAD,PROVINCIA,WESTERN_UNION,ENVIO_NACIONAL,PAGO_FACTURAS,RECARGA_FACIL,HS_LAV,HS_SABADO,HS_DOMINGO,LATITUD,LONGITUD
3181,7949039,HELADERIA VITO,SAN MARTIN 160,GRAL MANUEL CAMPOS,La Pampa,0,1,1,0,Lun. a Vie. 09:30hs a 24:00hs ,Sáb. 09:30hs a 24:00hs ,,-37.460284,-63.58449
3296,11949261,KIOSKO LUCAS,JUAN DOMINGO PERON 640,GRAL MANUEL CAMPOS,La Pampa,0,1,1,0,Lun. a Vie. 08:30hs a 23:00hs ,Sáb. 08:30hs a 23:00hs ,Dom. 08:30hs a 23:00hs ,-37.460484,-63.584983
